"ID";"Inkomensbegrippen";"Inkomensklassen";"Geslacht";"KenmerkenVanPersonen";"Perioden";"PersonenMetInkomen_1";"GemiddeldInkomen_2";"MediaanInkomen_3"
"13440";"A043961";"A028702";"3000   ";"1012600";"2020JJ00";"   346.0";"     0.3";"     1.1"
"13451";"A043961";"A028702";"3000   ";"2012655";"2020JJ00";"    45.3";"     0.5";"     1.0"
"13462";"A043961";"A028702";"3000   ";"2012657";"2020JJ00";"    86.2";"     0.4";"     1.0"
"13913";"A043961";"A028702";"4000   ";"1012600";"2020JJ00";"   363.2";"     0.9";"     1.2"
"13924";"A043961";"A028702";"4000   ";"2012655";"2020JJ00";"    54.6";"     0.8";"     1.1"
"13935";"A043961";"A028702";"4000   ";"2012657";"2020JJ00";"    83.0";"     1.0";"     1.2"
"14859";"A043961";"A028703";"3000   ";"1012600";"2020JJ00";"   309.5";"     6.3";"     6.1"
"14870";"A043961";"A028703";"3000   ";"2012655";"2020JJ00";"    40.9";"     6.3";"     6.2"
"14881";"A043961";"A028703";"3000   ";"2012657";"2020JJ00";"    78.6";"     6.3";"     6.1"
"15332";"A043961";"A028703";"4000   ";"1012600";"2020JJ00";"   405.2";"     6.4";"     6.3"
"15343";"A043961";"A028703";"4000   ";"2012655";"2020JJ00";"    56.9";"     6.4";"     6.3"
"15354";"A043961";"A028703";"4000   ";"2012657";"2020JJ00";"    87.2";"     6.4";"     6.2"
"16278";"A043961";"A028704";"3000   ";"1012600";"2020JJ00";"   260.0";"    14.4";"    14.3"
"16289";"A043961";"A028704";"3000   ";"2012655";"2020JJ00";"    40.7";"    14.6";"    14.5"
"16300";"A043961";"A028704";"3000   ";"2012657";"2020JJ00";"    68.6";"    14.4";"    14.3"
"16751";"A043961";"A028704";"4000   ";"1012600";"2020JJ00";"   461.7";"    14.7";"    14.7"
"16762";"A043961";"A028704";"4000   ";"2012655";"2020JJ00";"    65.1";"    14.7";"    14.7"
"16773";"A043961";"A028704";"4000   ";"2012657";"2020JJ00";"    82.3";"    14.5";"    14.4"
"17697";"A043961";"A028705";"3000   ";"1012600";"2020JJ00";"   234.7";"    24.4";"    24.5"
"17708";"A043961";"A028705";"3000   ";"2012655";"2020JJ00";"    42.0";"    24.4";"    24.6"
"17719";"A043961";"A028705";"3000   ";"2012657";"2020JJ00";"    62.9";"    24.4";"    24.5"
"18170";"A043961";"A028705";"4000   ";"1012600";"2020JJ00";"   498.1";"    24.2";"    24.2"
"18181";"A043961";"A028705";"4000   ";"2012655";"2020JJ00";"    67.6";"    24.3";"    24.3"
"18192";"A043961";"A028705";"4000   ";"2012657";"2020JJ00";"    72.9";"    24.2";"    24.2"
"19116";"A043961";"A028706";"3000   ";"1012600";"2020JJ00";"   283.5";"    33.2";"    33.3"
"19127";"A043961";"A028706";"3000   ";"2012655";"2020JJ00";"    52.0";"    33.2";"    33.2"
