sample_id,iteration,seed,Total share infected,Peak share infected
0,0,173211513282962673486881240379071867174,0.39090909090909093,0.19090909090909092
0,1,314144896018333507753723918600815827438,0.44545454545454544,0.19090909090909092
0,2,247638294395212204828410436197402359279,0.38181818181818183,0.16363636363636364
0,3,112202462231416101695927640496624191802,0.22727272727272727,0.1
0,4,188626723550972182417226149692561190720,0.32727272727272727,0.15454545454545454
0,5,78549685548486211410657003771370621427,0.41818181818181815,0.17272727272727273
0,6,166976763235591946120766631803681403917,0.4727272727272727,0.18181818181818182
0,7,131755892573516310478052747620929583100,0.17272727272727273,0.1
0,8,31364177503311639946529318820252521284,0.43636363636363634,0.16363636363636364
0,9,100038088200334034522834739793050545107,0.42727272727272725,0.17272727272727273
1,0,250131624992009855551221266687505735088,0.43263964950711936,0.15005476451259583
1,1,219299727562974917186395076260293859888,0.3702081051478642,0.13581599123767799
1,2,81465780003702623184606897826681191450,0.33515881708652795,0.12595837897042717
1,3,284157580013158259871212349519993698459,0.3822562979189485,0.13362541073384446
1,4,205399948239118892471361989679216765729,0.35815991237677985,0.13910186199342825
1,5,315021938332521773151376763175222081037,0.37677984665936476,0.13472070098576122
1,6,244666703888258420909345623109677156445,0.41511500547645125,0.15005476451259583
1,7,304744965404711334049815594339702281169,0.3778751369112815,0.13691128148959475
1,8,335269559278842579696657525374146112050,0.3603504928806134,0.13362541073384446
1,9,76724775000256222782671519504224367563,0.35815991237677985,0.12814895947426067
2,0,175668677436335785575431564272173382378,0.9,0.2727272727272727
2,1,190449123272116547143179385926901722629,0.8181818181818182,0.3181818181818182
2,2,197406667854484448877406298888946339536,0.7272727272727273,0.24545454545454545
2,3,246286607763209089129762875608608977106,0.6818181818181818,0.20909090909090908
2,4,230575894400792609340991683477971254449,0.7909090909090909,0.2636363636363636
2,5,58462547683623310922695491369023366075,0.7909090909090909,0.2909090909090909
2,6,290441263646057730151552029970362854289,0.7545454545454545,0.2545454545454545
2,7,123524700091608191673027857901871795078,0.7363636363636363,0.2545454545454545
2,8,324832207566352398262278314997020744358,0.7818181818181819,0.3
2,9,213046842366174743071297505470286856436,0.9181818181818182,0.23636363636363636
3,0,308075860999367228612577870938764330280,0.2636363636363636,0.1
3,1,61714885933794253884453602494401233452,0.16363636363636364,0.1
3,2,281449774847880897347101339287288258938,0.2636363636363636,0.1
3,3,213473776917956182268722195410943781596,0.21818181818181817,0.1
3,4,135877359204340681406223675965995057152,0.2727272727272727,0.1
3,5,31785089812571576904840435507865335419,0.2818181818181818,0.1
3,6,72168697884027685683553388678774734863,0.20909090909090908,0.1
