"ID";"Sex";"PersonCharacteristics";"Periods";"k_20thPercentile_4";"k_40thPercentile_5";"k_60thPercentile_6";"k_80thPercentile_7"
"336";"3000   ";"2012655";"2018JJ00";"    -7.1";"    -0.5";"     3.2";"    13.6"
"337";"3000   ";"2012655";"2019JJ00";"    -6.6";"     0.4";"     4.0";"    14.2"
"338";"3000   ";"2012655";"2020JJ00";"    -7.3";"     1.0";"     5.0";"    14.8"
"346";"3000   ";"2012657";"2018JJ00";"    -7.4";"    -0.2";"     4.8";"    17.0"
"347";"3000   ";"2012657";"2019JJ00";"    -7.0";"     0.6";"     5.5";"    17.3"
"348";"3000   ";"2012657";"2020JJ00";"    -7.0";"     1.5";"     6.6";"    18.4"
"596";"4000   ";"2012655";"2018JJ00";"    -6.8";"    -0.5";"     2.7";"    12.7"
"597";"4000   ";"2012655";"2019JJ00";"    -6.0";"     0.4";"     3.6";"    13.5"
"598";"4000   ";"2012655";"2020JJ00";"    -6.6";"     1.1";"     4.6";"    14.2"
"606";"4000   ";"2012657";"2018JJ00";"    -6.9";"    -0.2";"     4.3";"    15.7"
"607";"4000   ";"2012657";"2019JJ00";"    -6.3";"     0.5";"     5.1";"    16.1"
"608";"4000   ";"2012657";"2020JJ00";"    -6.2";"     1.5";"     6.3";"    17.3"
