"ID";"Inkomensbegrippen";"Inkomensklassen";"Geslacht";"KenmerkenVanPersonen";"Perioden";"PersonenMetInkomen_1";"GemiddeldInkomen_2";"MediaanInkomen_3"
"207";"A043961";"T001226";"T001038";"2012655";"2020JJ00";"  1026.3";"    45.1";"    36.1"
"218";"A043961";"T001226";"T001038";"2012657";"2020JJ00";"  1222.6";"    34.5";"    28.2"
"306";"A043961";"T001226";"T001038";"2016850";"2020JJ00";"  7951.4";"    52.5";"    45.0"
"680";"A043961";"T001226";"3000   ";"2012655";"2020JJ00";"   523.6";"    53.4";"    43.2"
"691";"A043961";"T001226";"3000   ";"2012657";"2020JJ00";"   660.8";"    38.7";"    33.1"
"779";"A043961";"T001226";"3000   ";"2016850";"2020JJ00";"  4243.9";"    62.7";"    54.2"
"1153";"A043961";"T001226";"4000   ";"2012655";"2020JJ00";"   502.6";"    36.5";"    29.7"
"1164";"A043961";"T001226";"4000   ";"2012657";"2020JJ00";"   561.7";"    29.4";"    23.2"
"1252";"A043961";"T001226";"4000   ";"2016850";"2020JJ00";"  3707.5";"    40.8";"    35.1"
"27168";"A043962";"T001226";"T001038";"2012655";"2020JJ00";"  1418.6";"    41.0";"    30.5"
"27179";"A043962";"T001226";"T001038";"2012657";"2020JJ00";"  1692.4";"    31.0";"    21.3"
"27267";"A043962";"T001226";"T001038";"2016850";"2020JJ00";"  7951.4";"    53.9";"    46.1"
"27641";"A043962";"T001226";"3000   ";"2012655";"2020JJ00";"   691.9";"    49.5";"    38.1"
"27652";"A043962";"T001226";"3000   ";"2012657";"2020JJ00";"   866.2";"    35.5";"    26.6"
"27740";"A043962";"T001226";"3000   ";"2016850";"2020JJ00";"  4243.9";"    64.2";"    55.2"
"28114";"A043962";"T001226";"4000   ";"2012655";"2020JJ00";"   726.8";"    33.0";"    24.5"
"28125";"A043962";"T001226";"4000   ";"2012657";"2020JJ00";"   826.2";"    26.2";"    17.5"
"28213";"A043962";"T001226";"4000   ";"2016850";"2020JJ00";"  3707.5";"    42.0";"    36.1"
"54129";"A043963";"T001226";"T001038";"2012655";"2020JJ00";"  1418.6";"    35.7";"    27.1"
"54140";"A043963";"T001226";"T001038";"2012657";"2020JJ00";"  1692.4";"    26.7";"    19.4"
"54228";"A043963";"T001226";"T001038";"2016850";"2020JJ00";"  7951.4";"    45.0";"    37.9"
"54602";"A043963";"T001226";"3000   ";"2012655";"2020JJ00";"   691.9";"    43.2";"    33.4"
"54613";"A043963";"T001226";"3000   ";"2012657";"2020JJ00";"   866.2";"    30.5";"    23.5"
"54701";"A043963";"T001226";"3000   ";"2016850";"2020JJ00";"  4243.9";"    53.8";"    45.3"
"55075";"A043963";"T001226";"4000   ";"2012655";"2020JJ00";"   726.8";"    28.5";"    22.3"
"55086";"A043963";"T001226";"4000   ";"2012657";"2020JJ00";"   826.2";"    22.7";"    16.9"
"55174";"A043963";"T001226";"4000   ";"2016850";"2020JJ00";"  3707.5";"    34.9";"    30.0"
