sample_id,iteration,seed,my_measure
0,0,50154839995334810717633613830084584213,1
0,1,202635572402413913022851210936669820605,1
0,2,16210202780925696733730233468927578497,1
0,3,57793397558084571271266926725237395337,1
0,4,129602843021451614013174662428622299242,1
0,5,267788520293633134991661304736785095776,1
0,6,196216333674790313370809299348783559777,1
0,7,158686859851011387409276769095090211552,1
0,8,338553189194483020528621361471828142825,1
0,9,277584752525371392626928121272942330282,1
1,0,183928090833856166558031224750299535566,1
1,1,52342174657327931338804546462804025046,1
1,2,255558759568610807646532014399735581280,1
1,3,87115667488932786524793596654498872014,1
1,4,16917006603055681981175958330393649248,1
1,5,250198078261816625411289653525508052463,1
1,6,143785415359030485143424967448015993048,1
1,7,291035793974743977391781079512410342927,1
1,8,228028583668637600987519385783941795832,1
1,9,81200569442642527712874920585057419767,1
2,0,260240965640825623702100836202022621301,1
2,1,135274814872946644145573032219571346262,1
2,2,140953680788639183521778563386357468965,1
2,3,263630577577022330340956487609886781540,1
2,4,196614931019779076660596917240054432579,1
2,5,312027683907807534160458311530913199152,1
2,6,209766691194315947377914903683379386095,1
2,7,15655197300061970297859163809504587950,1
2,8,147590338333619626721406832080968667442,1
2,9,219969685245427947474660214837807971369,1
3,0,274600337396957181330952589736611357670,1
3,1,92778471219233593899251759930968802108,1
3,2,159425427930454871785231296264536596124,1
3,3,249531417968564124505632617376642424089,1
3,4,70352188310446558838841812363942391639,1
3,5,78888819595867561133910547739471236136,1
3,6,177006253813104747906690582000018580054,1
3,7,73748703890733786995834073806286868479,1
3,8,44042534199595822419739817851590288434,1
3,9,37464104961185370630838755230044038921,1
4,0,65422971744131460595593056799565584309,1
4,1,205368208469654526957191326017988572449,1
4,2,177374357612541439989311422387615871580,1
4,3,125578297405390917276464109414529769685,1
4,4,283755800547008451437428413343086795342,1
4,5,48559055444173061961128246235219483838,1
4,6,63555047075120384862770077524802745260,1
4,7,242493621477483116348413999218520625478,1
4,8,15908270281607600153827956327370224151,1
4,9,66404178088241992749488072675328544951,1
5,0,265980066216804132592387626638365328680,1
5,1,282087558524088722722013103308444442840,1
5,2,231406790432854202903548259010301194272,1
5,3,162185063706458526409064933341186726498,1
5,4,322461179347950044652905617974046314262,1
5,5,318036710969504315396843542866333459976,1
5,6,90277142328384621953945104707891728231,1
5,7,130389623270278984302644603916802057877,1
5,8,131357098312237573000527960642629101565,1
5,9,277593366820175744339847545574463082203,1
6,0,60474553522457200496772103363641615782,1
6,1,162882148378226832567118278242128891722,1
6,2,223789839872514326900392441617397838166,1
6,3,36363037096032692647454614966293669311,1
6,4,248434322530976096980089582910004317184,1
6,5,155302574062643488660586624835242114981,1
6,6,179029338995302889456055563126947020597,1
6,7,245486309089462479611326685685429114734,1
6,8,142334383343581166419339256586195799243,1
6,9,224229377449104930442711797647759305125,1
7,0,132940984774178427081390084383188128683,1
7,1,35071763695604752832156372960251358494,1
7,2,135016646042769541553090096412464072498,1
7,3,68844553262806953004037787269598253164,1
7,4,92467178761141331774141428911394835396,1
7,5,266111422301267788953070418380741013388,1
7,6,153769960330648370925931500040030728726,1
7,7,110839269925847116458158330906025724840,1
7,8,241667418349795803264401387416020427359,1
7,9,91694708295431934237559971576390022797,1
8,0,35542088258928592182932662589799934770,1
8,1,282296889827223767635907426971481143212,1
8,2,274144037165939811432097192378806715740,1
8,3,42151833874371301597524047601503528213,1
8,4,151514530761236144337805573724044838549,1
8,5,240242369223976510291650916640611602173,1
8,6,336213484566542591278810391801836166896,1
8,7,108048609739112225687662655013972054098,1
8,8,104165987867848521904250538309026517650,1
8,9,119607052445487638789685607568476450190,1
9,0,149929244305397426494759273875597312419,1
9,1,112452164913022074175891416975820444928,1
9,2,316019628584710389747332077347412703483,1
9,3,283630595900930364720808589079237735809,1
9,4,241406132596509981022111212566929458784,1
9,5,90996635479133835420892828881527100214,1
9,6,124267334861602237042596179450484186658,1
9,7,179635183514385800414599440374658637992,1
9,8,284753759570825960157550566370630500551,1
9,9,207411027362975691664357689297858203060,1
10,0,305997353739858165060570487538662486929,1
10,1,280521440804670925511910258695347080779,1
10,2,250731975435345047076529863355706315828,1
10,3,210098236117584230379654692480309384974,1
10,4,7906889820726213550403921963127390380,1
10,5,68269244327430271562309126559658357065,1
10,6,246647018753868055827094290283221951145,1
10,7,280064046057759732678920985444944938893,1
10,8,246321610416917528067311396891244631426,1
10,9,170193396759520920266924343203577492113,1
