sample_id,iteration,seed,wealth,race
0,0,61679287565142486363826149907041552841,"[-0.1, 0.2817008161882306, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.11660809759569762, 0.38518942763463915]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1]"
0,1,186811475327765699611080207914574072642,"[-0.1, -0.1, 0.23597244615666094, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1]","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
1,0,48513260592753805867096852991048554757,"[-0.1, 0.22429147206838712, -0.1, -0.1, -0.1, -0.1, 0.6324400016407834, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 0.31248269009112223, -0.1, -0.1, 0.6247394871928104, -0.1, -0.1, -0.1, 0.40853527178670634, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.11733580394199912, -0.1, -0.1, -0.1]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1,1,232844952494390756634088485039904140931,"[-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 0.22691151531167814, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
2,0,73737887861437900668780276499206040283,"[-0.1, 0.3345861099045995, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 0.3598420820216929]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,1,112665886671858553379136121602055729034,"[0.4403543178280187, 0.4002114275789113, -0.1, -0.1061346422537981, 0.481557006832936, 0.3259409777810885, -0.1, -0.1, -0.1, -0.1, -0.1]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
3,0,243613176607064155414498795769972624961,"[-0.1, -0.1, -0.1, 0.2765337121040946, 0.513012712331478, -0.1, -0.1, -0.1, 0.8115619433634752, -0.1, -0.1]","[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
3,1,95354169004584053785573964392726677385,"[0.3151106197256334, -0.1, -0.1, -0.1, 0.8014054412840037, -0.1, -0.1, 0.21498013009223482, -0.1, -0.1, -0.1]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
4,0,117299343945089870039273284625478641007,"[-0.1, 0.4554161471425046, 0.47596097031214846, 0.2455664155687884, 0.22261534778579986, 0.7067518580286093, -0.1, -0.1, -0.1, 0.23308830349588439, -0.12873485125090028, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 0.19460473101433415, -0.1, -0.1, -0.1, -0.1, 0.33801166749148914, 0.28948168531472884, -0.1, -0.1, 0.5725928257482265, 0.3003465692978298, 0.6685738551655249, 0.4695931980789456, -0.1, -0.1, -0.1]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]"
4,1,226154887988816409486781979704340631522,"[0.20849536787148654, 0.24265359399896233, 0.6622413882617914, 0.6099859984089486, -0.1, 0.38412166412598703, -0.1, -0.1, -0.1, -0.1, 0.4139322781982533, -0.1, 0.13602675505825632, -0.1, -0.1, -0.1, -0.1, -0.1, 0.8101496999646539, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 0.3162921960548724, 0.778005166207046, -0.11831925226866136, 0.507531262534571, -0.1, -0.1, -0.1, -0.1, -0.1]","[0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0]"
5,0,162525796583603329571594820566246395386,"[-0.1, 0.6045983169987881, 0.24221890491615408, 0.552188097765914, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 0.4108159160184188, -0.1, -0.1, -0.1, 0.6892937923479422, -0.1, 0.41397952518886355, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 0.2547069366661371, -0.1, -0.16473139134318904, -0.1, -0.1, -0.1, 0.3375906672133171, -0.1, 0.20477450429826277, -0.1, 0.2977091434276652, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 0.5428547934970308, 0.1096912822646033, -0.1, -0.1, -0.1, 0.6141859196578712, 0.5416359820315745, -0.1, 0.6439375807335715, -0.1391936618199743, -0.1, 0.586677541643484, -0.1, -0.1, -0.1, 0.2934979790224591, -0.1, 0.5812851412431633, -0.1, -0.1, -0.1, 0.48031093177429196, -0.1, 0.26251089860447885, 0.4038705414025304, 0.9386517284423151, 0.208919286305662, 0.3395423509375908, -0.1, -0.1]","[1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
5,1,192443846439147339776142208158332103900,"[-0.1, 0.22077256067540305, 0.6046469627160158, -0.1, -0.1, -0.1, -0.1, -0.1, 0.07425892087230841, -0.1, -0.1, 0.5161994664273388, 0.322260331070969, -0.1, 0.1831507382875925, 0.5542119619597936, -0.1, -0.1, 0.3931441055368456, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.14996592297055797, -0.1, -0.1, -0.10968780708438255, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 0.0028320160243372654, 0.22114301784764306, 0.619580666714815, 0.43947873381959035, -0.1, -0.1, 0.39387866809287847, -0.1, -0.1, -0.1, 0.48177689764298043, -0.1, 0.7577713130054476, -0.1, -0.1, -0.1, -0.1, 0.6366248202883747, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 0.7168095984712552, -0.1, -0.1, -0.1, -0.1, 0.19452806688269003, -0.1, 0.5732040462947525, -0.1303847175698641, 0.8863482674730512, 0.7226442688228156, -0.1, 0.256620127028012, -0.1, -0.13640830300412204, 0.2733251220362111, -0.1, -0.1, 0.7549648252363802]","[0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1]"
6,0,308360478584375033483377822392706734206,"[-0.1, 0.25920305613171757, -0.1, -0.1, 0.2469704482295262, -0.1, -0.1, 0.36220110582534054, -0.1, -0.1, -0.1, 0.5209093721702542, -0.1, -0.1, -0.1, -0.14631893162291504, 0.4304971476968639, -0.1, -0.1, 0.5487928792493592, -0.1, -0.1, 0.2796931680195835, -0.1, -0.1, -0.1, -0.1, -0.1, 0.4528573616928291, -0.1, -0.1613371351886139, 0.21763667286614305, -0.1, -0.1, -0.1, 0.13599867458256176, 0.37770871130383277, 0.5801999966094166, 0.16810996589438307, -0.1, 0.2989570467326377, -0.1, 0.601697638052614, -0.1, 0.4661388436007948, -0.1, -0.1, 0.6661034687316426, -0.11036275613948768, -0.1, -0.1, -0.1, -0.10710504571270317, 0.35541068360686723, 0.6084765793024273, -0.1, -0.1, -0.1, 0.40099644465808454, -0.1, -0.1, 0.46370264149037316, -0.1, -0.1, 0.2841128272823261, -0.1, -0.10675938825640215, -0.1, -0.1, -0.1, -0.10333798700337529, -0.1, -0.17245149800638468, -0.1, 0.28380734038031663, -0.1, -0.1, 0.621412029578052, 0.6705508504058741, -0.1, -0.10295545128686137, 0.1939431906065223, -0.1, 0.5655608836548198, -0.1, -0.1, 0.26841233884196164, 0.28325867355053297, -0.1, -0.1, 0.228909469582149, -0.1, 0.4505867175148834, 0.7018825070903704, -0.1, -0.1, -0.1, -0.1, -0.1, 0.43117956488589354, -0.1, -0.1, -0.1, -0.1, 0.7161676969735172, 0.19919641383955847, 0.16485756177299646]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
